nome1,nome2,nome_comp,%teor_alc,IBU_amargor,tipo,ingredientes,descr
Colorado,Appia,Colorado Appia,5.5,10,HONEY WHEAT ALE,"Cerveja, água, mel e leveduras.","A palavra Appia vem do latim e significa mel. O nome perfeito para a primeira cerveja do Brasil a utilizar mel em sua fórmula. Uma combinação exótica que, além do mel das flores das laranjeiras, é feita a partir dos melhores maltes de cevada e trigo, além de nossa exclusiva levedura de alta fermentação. Doce, encorpada e refrescante, é perfeita para quem busca novos e diferentes sabores."
Colorado,Berthô,Colorado Berthô,8,35,DOUBLE BROWN ALE,"Água, malte de cevada, aveia, açúcar mascavo, castanha do pará, lúpulo e fermento.","A Cerveja Colorado Berthô é uma American Brown Ale feita com Bertholletia Excelsa. Mas pode chamá-la simplesmente de Berthô, a cerveja que foi buscar na culinária mais diversificada do Brasil o seu ingrediente especial: a castanha-do-Pará. O tom adocicado do malte, combinado com o amargor dos lúpulos especiais e da castanha, criam um sabor único e inconfundível, assim como a cultura paraense."
Colorado,Cauim,Colorado Cauim,4.5,18,PREMIUM AMERICAN LAGER,"Água, malte, fécula de mandioca e lúpulo.","Seu nome Cauim vem do Tupi e se refere a uma antiga bebida fermentada de cereais e mandioca, fabricada pelos índios brasileiros. Não por acaso esta deliciosa cerveja combina fermento alemão, lúpulo tcheco, cevada maltada holandesa e, é claro, a brasileiríssima mandioca."
Colorado,Cauim 016,Colorado Cauim 016,4.2,18,PREMIUM AMERICAN LAGER,"Água, malte, fécula de mandioca e lúpulo.","Esta cerveja surgiu do amor pela terra natal da Cervejaria Colorado, Ribeirão Preto. É uma Pilsen produzida com mandioca, como a Cauim original, porém, mais leve e com Dry Hopping de lúpulos franceses. O resultado é maior refrescância e um aroma inconfundível."
Colorado,Demoiselle,Colorado Demoiselle,6,22,ROBUST PORTER,"Água, malte, açúcar, extrato natural de café e lúpulo.","Demoiselle, uma cerveja escura como a noite e que leva café na sua formulação. Esta cerveja Porter é feita com maltes importados da mais alta qualidade e o melhor café da região da Alta Mogiana. Este café é comprado direto do produtor, moído e torrado segundo nossas especificações e macerado em água fria para só então ser adicionado ao mosto cervejeiro. Usando este método evitamos que o café perca seus melhores aromas devido às altas temperaturas presentes no processo de brassagem."
Colorado,Eugênia,Colorado Eugênia,4.5,40,SESSION IPA,"Água, malte, polpa de uvaia, lúpulo, levedura e fermento.","Eugênia é uma cerveja do estilo Session IPA, com aromas marcantes dos lúpulos americanos, alemães e franceses, com um ingrediente especial: a fruta Uvaia, típica da Mata Atlântica, rica em vitamina C e A, super aromática e com sabor cítrico. A Cerveja Colorado Eugênia é leve, refrescante e amarga na medida (40 IBU). Desiberne, cerveja pode ter fruta!"
Colorado,Guanabara,Colorado Guanabara,10.5,52,RUSSIAN IMPERIAL STOUT,"Água, malte, rapadura e lúpulo.","A Guanabara Wood Aged é diferente. Tão diferente, que fica até difícil explicar qual o sabor dela. Mas, vamos lá: ela é uma Imperial Russian Stout com rapadura queimada do Seu Zé e da Dona Maria. Tem 10,5% de álcool e é envelhecida em barril de Umburana. Tudo, claro, vindo da nossa querida terra: o Brasil. Esse encontro de ingredientes brasileiros com o barril deu origem a um sabor que já ganhou 21 prêmios ao redor do mundo. E ainda transformou a Guanabara na cerveja mais premiada da Colorado."
Colorado,Indica,Colorado Indica,7,45,INDIA PALE ALE,"Água, malte, rapadura e lúpulo.","A Indica Colorado traz a legítima fórmula utilizada pelos soldados ingleses em sua longa viagem marítima até a Índia. Detalhe: com um toque especial da rapadura. Não por acaso, foi eleita pela revista Prazeres da Mesa a Cerveja do Ano e ainda recebeu 3 estrelas na publicação inglesa Pocket Beer Guide, o mais respeitado guia de cervejas do mundo."
Colorado,Ithaca,Colorado Ithaca,10.5,52,IMPERIAL STOUT,"Água, malte de cevada, rapadura e lúpulo.","O nome da cerveja Colorado Ithaca vem de uma pequena ilha grega, terra natal de Ulisses da Odisséia. Uma cerveja que já nasceu de uma luta não poderia ter outro nome. Ainda mais uma Imperial Stout que não abre mão do seu jeitinho brasileiro. É por isso que sua fórmula conta com um elemento nordestino: a rapadura queimada. O resultado é uma cerveja porreta que, assim como a alegria do Nordeste, também tem vida longa. Ela harmoniza muito bem com carnes de caça, queijos duros bem maturados, presunto cru e sobremesas como creme brulè e pudim de leite. Possui medalha de Ouro em diversos festivais como: Mondial de La Bière (2013) e Festival Brasileiro da Cerveja (2013, 2014, 2015)."
Colorado,Murica,Colorado Murica,4.7,20,CREAM ALE,"Água, malte de cevada, suco de graviola, lúpulo e fermento.","Apaixonados pela miscigenação brasileira, casamos a maciez da Cream Ale (família Pale Ale) com o agridoce da Graviola, fruta que nasceu no Caribe e cresce no Brasil há mais de 500 anos. Tanto, que já tem até apelido: araticum, coração-de-rainha ou jaca-do-pará, mas o nome de batismo mesmo é Annona muricata. Assim nasceu a Cerveja Colorado Murica, mais um fruto de nossa intimidade com o Brasil."
